Test Result UID,Sample Name,Sample Type,Test Time,Receival Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,delta-9 CBG-A,delta-9 CBG,CBG-A,CBG,CBC,Moisture Content
232HYqAnSdGH2NHMi,CBDee's Whole Live Plant Distillate,Concentrate,2016-08-16,2016-08-15,1,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.21,0.0,0.01,0.4,0.52,0.01,0.0,1.46,0.47,0.0,0.02,0.2,0.0,0.0,NaN,3.8,NaN,NaN,0.25,0.35,NaN,68.65,NaN,NaN,NaN,2.2,2.36,NaN
23j7vbEzcYBHTvDtT,Girl Scout Cookie,Concentrate,2015-12-04,2015-12-03,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.24,0.0,0.05,0.02,0.0,0.72,0.01,0.35,0.75,0.09,0.08,0.23,0.01,0.0,NaN,59.9,NaN,NaN,0.38,0.18,NaN,0.05,NaN,NaN,NaN,2.76,0.69,NaN
25gSnegtgw2Qf2dNJ,Blueberry Haze HTFSE,Concentrate,2017-10-19,2017-10-19,2,0.0,0.0,NaN,NaN,NaN,0.0,0.19,0.0,0.0,0.0,0.53,0.0,0.82,0.0,0.14,0.53,0.82,3.09,0.04,2.84,10.92,0.04,1.14,2.65,0.0,0.0,NaN,6.7,0.01,38.85,0.3,0.01,0.78,0.01,NaN,NaN,7.66,2.52,0.66,NaN
27qz6QFwZ5Sto3RLe,011518-02 Straw. Lem. SCE,Concentrate,2018-04-10,2018-04-10,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.13,0.0,0.06,0.0,0.0,0.0,0.33,0.0,2.76,0.08,0.44,0.51,0.2,0.69,2.65,1.27,0.22,2.13,0.12,0.04,NaN,15.24,0.01,47.49,0.01,0.01,1.03,0.01,NaN,NaN,8.75,1.55,0.01,NaN
27qz6QFwZ5Sto3RLe,011518-02 Straw. Lem. SCE,Concentrate,2018-04-10,2018-04-10,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.13,0.0,0.06,0.0,0.0,0.0,0.33,0.0,2.76,0.08,0.44,0.51,0.2,0.69,2.65,1.27,0.22,2.13,0.12,0.04,NaN,15.24,0.01,47.49,0.01,0.01,1.03,0.01,NaN,NaN,8.75,1.55,0.01,NaN
2Cz6bHJHWbt2mZxih,Strawberry Banana -LR,Concentrate,2017-09-01,2017-09-01,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.96,0.06,0.22,0.2,0.05,0.52,0.69,0.32,0.05,0.88,0.02,0.0,NaN,1.09,0.01,80.04,0.01,0.33,0.95,0.01,NaN,NaN,3.86,0.59,0.01,NaN
2DNgXhuWzqxkLujyG,POG x SC x DWB - LRB,Concentrate,2016-01-22,2016-01-21,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.85,0.04,0.1,0.08,0.06,0.13,1.03,0.24,0.8,0.47,0.02,0.0,NaN,50.1,NaN,NaN,0.2,0.04,NaN,0.01,NaN,NaN,NaN,1.32,0.15,NaN
2GXN4DqHM9zr2vRdh,LR 031218-03-Viper City OG,Concentrate,2018-03-20,2018-03-20,NaN,0.0,0.0,NaN,NaN,NaN,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.38,0.08,0.21,0.16,0.06,0.44,1.42,0.21,0.1,0.94,0.05,0.0,NaN,1.63,0.01,88.01,0.01,0.01,0.89,0.01,NaN,NaN,1.71,0.43,0.01,NaN
2JNQwo32FfQMsHjfG,Platinum Cream - LR,Concentrate,2016-09-29,2016-09-28,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.27,0.0,0.31,0.1,0.0,0.55,0.5,0.08,0.07,0.77,0.0,0.0,NaN,69.7,NaN,NaN,0.23,0.26,NaN,0.45,NaN,NaN,NaN,3.57,0.84,NaN
2JRhCsyqpiAniX2Lr,Grateful Puff - LR,Concentrate,2016-12-01,2016-11-29,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.18,0.08,0.18,0.22,0.0,0.54,0.86,0.31,0.11,1.1,0.0,0.0,NaN,61.5,NaN,NaN,0.36,0.0,NaN,0.39,NaN,NaN,NaN,6.21,0.57,NaN
2JXgjF7c6hqJisjG3,Sour Skywalker Mendo - LRB,Concentrate,2016-12-08,2016-12-06,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.16,0.06,0.25,0.07,0.0,0.55,0.5,0.14,0.03,0.63,0.0,0.0,NaN,68.8,NaN,NaN,0.38,0.0,NaN,0.43,NaN,NaN,NaN,3.48,1.04,NaN
2K2666PaF7Zqedtzj,Perkins-LR,Concentrate,2017-12-21,2017-12-21,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.08,0.0,0.0,0.0,0.18,0.0,0.3,0.0,0.09,0.13,0.19,0.32,0.06,0.39,3.46,0.1,0.12,0.75,0.05,0.13,NaN,0.44,0.01,8.85,0.01,0.01,72.23,2.57,NaN,NaN,0.01,0.57,0.01,NaN
2K6pcPuChenn9S982,07021701,Concentrate,2017-07-11,2017-07-11,3,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,79.45,2.83,0.01,0.41,2.14,0.01,1.64,NaN,NaN,0.01,1.31,0.0,NaN
2Lbh4J683NcuXvLew,Tangie Ghost Train - Live Resin,Concentrate,2016-12-21,2016-12-20,2,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.11,0.0,0.02,0.04,0.0,0.0,0.0,0.1,0.22,0.0,0.0,0.22,0.0,0.0,NaN,52.7,NaN,NaN,0.63,0.26,NaN,0.41,NaN,NaN,NaN,1.78,0.31,NaN
2MsQoucW7whmvGhMb,Tony Clifton #4 - Rosin,Concentrate,2015-12-12,2015-12-10,4,NaN,NaN,0.0,0.0,NaN,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.43,0.0,0.03,0.09,0.35,0.18,0.01,0.71,0.1,0.0,0.09,1.03,0.01,0.0,NaN,56.3,NaN,NaN,0.15,0.1,NaN,0.07,NaN,NaN,NaN,2.36,0.53,NaN
2P4hjj2tnd3zJaTbf,Death Glue - LR,Concentrate,2016-08-30,2016-08-30,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.02,0.03,0.43,0.13,0.0,0.82,0.51,0.0,0.03,0.83,0.0,0.0,NaN,65.2,NaN,NaN,0.31,0.31,NaN,0.42,NaN,NaN,NaN,2.0,0.71,NaN
2QKAcimND9ePNB63r,Skywalker Live Resin,Concentrate,2017-05-31,2017-05-25,2,NaN,NaN,0.0,0.0,NaN,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.02,0.05,0.11,0.19,0.0,0.47,1.5,0.0,0.06,1.11,0.0,0.0,78.7,1.6,NaN,NaN,0.0,0.0,0.48,0.0,NaN,NaN,3.72,0.59,0.0,NaN
2SSt3muubM5PWGufW,Candyland,Concentrate,2016-11-10,2016-11-08,5,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.06,0.81,0.1,0.0,1.53,0.08,0.0,0.1,0.81,0.0,0.0,NaN,57.2,NaN,NaN,0.24,0.62,NaN,0.62,NaN,NaN,NaN,5.94,1.58,NaN
2SkBj5yBsLxphTSBL,Blaze Batter,Concentrate,2017-02-16,2017-02-14,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.03,0.0,0.0,0.0,0.06,0.0,0.16,0.0,0.0,0.07,0.22,0.81,0.0,0.67,1.95,0.0,0.15,0.57,0.0,0.0,NaN,58.2,NaN,NaN,0.6,0.22,NaN,0.37,NaN,NaN,NaN,2.94,0.49,NaN
2WWMtpPJxrjoCo9LF,DM500-Retentate,Concentrate,2018-03-14,2018-03-14,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.1,0.0,0.05,0.1,0.21,0.04,0.05,0.48,0.04,0.0,0.0,0.05,0.0,0.0,NaN,32.6,0.01,36.45,0.25,0.7,1.15,0.01,NaN,NaN,1.31,0.51,0.33,NaN
2X4qviAwMn9HvPLvj,Lemon Disco Biscuits- LRB,Concentrate,2017-07-27,2017-07-27,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.04,0.07,0.38,0.15,0.01,0.84,0.15,0.09,0.06,0.38,0.0,0.0,NaN,1.61,0.01,84.55,0.01,0.01,0.99,0.01,NaN,NaN,4.04,0.01,0.01,NaN
2acK4nibmhRdcLSos,GMO- LRB,Concentrate,2017-08-09,2017-08-09,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.18,0.05,0.0,0.1,0.02,0.23,0.26,0.0,0.0,0.85,0.0,0.0,NaN,1.17,0.01,76.16,0.01,0.01,0.86,0.01,NaN,NaN,3.5,0.01,0.06,NaN
2ait8yzZGwmxHDXzQ,Lemon Skunk LRB,Concentrate,2018-01-16,2018-01-16,NaN,0.0,0.0,NaN,NaN,NaN,0.07,0.09,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.69,0.08,0.19,0.23,0.1,0.36,1.54,0.43,0.08,1.01,0.07,0.0,NaN,1.85,0.0,85.63,0.0,0.0,0.93,0.0,NaN,NaN,3.61,0.67,0.0,NaN
2btxBqR7wrSnktCww,Kimbo Kush,Concentrate,2017-05-18,2017-05-16,6,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.14,0.0,0.0,0.14,0.42,0.05,0.0,1.0,0.08,0.0,0.0,0.2,0.0,0.0,69.6,2.5,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,2.37,0.36,0.0,NaN
2hLsw3GQNtGFJZFFN,Josh D OG #15 LR,Concentrate,2018-05-01,2018-05-01,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.42,0.06,0.24,0.27,0.07,0.47,0.94,0.17,0.08,2.08,0.05,0.0,NaN,1.37,0.01,82.09,0.01,0.01,0.01,0.01,NaN,NaN,3.32,0.01,0.01,NaN
2jQufDhJ8Pu8C97Z3,Mendo Monkey Cured Cart,Concentrate,2017-10-16,2017-10-16,2,0.0,0.0,NaN,NaN,NaN,0.0,0.05,0.0,0.0,0.0,0.09,0.0,0.23,0.02,0.23,0.1,0.12,0.03,0.02,0.45,0.17,0.05,0.03,0.29,0.0,0.0,NaN,10.23,0.01,42.18,0.01,0.01,0.01,0.01,NaN,NaN,1.93,0.38,0.27,NaN
2kKSAyZ4duJrDWTAn,Jedi Sherb Ice Wax 1st Wash 70um,Concentrate,2017-01-28,2017-01-27,7,NaN,NaN,0.0,0.0,NaN,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.09,0.12,0.18,0.0,0.37,0.74,0.0,0.06,1.0,0.0,0.0,NaN,62.6,NaN,NaN,0.35,0.18,NaN,0.36,NaN,NaN,NaN,3.03,0.58,NaN
2oYFoR3wQjJqiESF9,Cartridge 2,Concentrate,2018-05-14,2018-05-14,NaN,0.0,0.0,NaN,NaN,NaN,0.11,0.06,0.0,0.0,0.0,0.11,0.0,0.24,0.0,2.86,0.07,0.14,0.17,0.19,0.26,0.6,0.0,0.13,0.47,0.12,0.03,NaN,44.14,0.01,19.44,0.01,1.52,0.01,0.01,NaN,NaN,7.0,1.94,4.08,NaN
2pND3X9dSxc4nTWBr,Superman OG,Concentrate,2017-08-25,2017-08-25,8,0.0,0.0,NaN,NaN,NaN,0.0,0.06,0.0,0.0,0.0,0.15,0.0,0.65,0.0,0.44,0.11,0.23,0.14,0.03,0.5,0.67,0.19,0.04,0.86,0.0,0.0,NaN,4.84,0.01,75.69,0.01,0.26,3.97,0.01,NaN,NaN,0.75,0.15,1.11,NaN
2pW2KMxRtySHzn5XL,Lemon Cookies- HCFSE,Concentrate,2017-09-11,2017-09-11,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.04,0.0,0.0,0.0,0.07,0.0,0.1,0.0,1.19,0.05,0.01,0.12,0.06,0.15,0.13,0.33,0.06,0.15,0.03,0.0,NaN,4.77,0.01,75.09,0.01,0.57,0.01,0.01,NaN,NaN,3.57,0.33,0.01,NaN
2rjpqKWXzqmn45x2E,Cuveé Live Resin,Concentrate,2016-02-11,2016-02-10,9,NaN,NaN,0.0,0.0,NaN,0.0,0.08,0.0,0.01,0.0,0.31,0.0,0.71,0.0,0.04,0.08,0.21,0.27,0.01,0.43,0.4,0.01,0.09,1.07,0.01,0.0,NaN,53.5,NaN,NaN,0.08,0.06,NaN,0.01,NaN,NaN,NaN,1.38,0.07,NaN
2xrnbGjPfRWeWiZmm,GG#4 htfse,Concentrate,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.09,0.38,1.13,0.45,0.02,3.13,0.46,0.04,0.21,2.25,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2z56JbDnCNSdGbii2,CBD-KY-01,Concentrate,2017-06-06,2017-06-06,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,4.11,0.12,0.01,0.21,0.47,0.01,74.61,NaN,NaN,0.69,1.25,0.36,NaN
32uT5qsvLEH7nbuXC,KK x MB,Concentrate,2017-06-02,2017-06-02,10,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.04,0.15,0.0,0.0,0.4,0.03,0.0,0.0,0.12,0.0,0.0,NaN,3.64,0.01,80.87,0.01,0.01,0.01,0.01,NaN,NaN,0.47,0.07,2.54,NaN
33Gxv66qLKSZ9239J,Sunset Sherbert,Concentrate,NaN,NaN,11,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,2.73,0.0,1.2,4.37,0.93,0.0,16.32,4.2,0.0,1.31,9.61,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37GcHXFfy2u9JDrdv,Apollo 13 - LR,Concentrate,2016-06-01,2016-05-31,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.04,0.0,0.0,0.0,0.15,0.0,0.12,0.0,0.02,0.08,0.26,0.3,0.0,0.65,1.25,0.0,1.0,0.68,0.0,0.0,NaN,61.5,NaN,NaN,0.29,0.23,NaN,0.59,NaN,NaN,NaN,1.25,0.53,NaN
3AJaT6ff6WiN9Rree,ASD0319Wax B,Concentrate,2018-03-22,2018-03-22,12,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.09,0.0,0.0,0.09,0.17,0.09,0.0,0.4,0.1,0.0,0.07,0.08,0.0,0.0,NaN,81.39,0.01,0.01,0.61,0.3,0.01,1.39,NaN,NaN,0.01,1.07,0.8,NaN
3Aiqpfii9aNj6cndo,Agent Orange - LR,Concentrate,2017-05-10,2017-05-08,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.16,0.0,0.0,0.04,0.21,0.18,0.0,0.59,0.36,0.13,0.02,1.1,0.0,0.0,77.8,1.8,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,2.1,0.48,0.0,NaN
3BmLzcg7v6bsW8Sek,"022618-01 GMO ""A"" SCE",Concentrate,2018-04-10,2018-04-10,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.1,0.08,0.33,0.32,0.0,0.58,1.39,0.0,0.1,2.59,0.04,0.0,NaN,5.94,0.01,77.45,0.01,0.01,1.18,0.01,NaN,NaN,3.27,0.49,0.01,NaN
3BmLzcg7v6bsW8Sek,"022618-01 GMO ""A"" SCE",Concentrate,2018-04-10,2018-04-10,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.1,0.08,0.33,0.32,0.0,0.58,1.39,0.0,0.1,2.59,0.04,0.0,NaN,5.94,0.01,77.45,0.01,0.01,1.18,0.01,NaN,NaN,3.27,0.49,0.01,NaN
3BxB8hTxaQ4Tx54Mm,Grape Stomper x Strawberry Diesel Live Resin,Concentrate,2015-08-05,2015-08-04,13,NaN,NaN,0.0,0.0,NaN,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.04,0.02,0.11,0.2,0.01,0.26,2.23,0.0,0.08,1.48,0.0,0.0,NaN,61.7,NaN,NaN,0.02,0.07,NaN,0.03,NaN,NaN,NaN,0.63,0.08,NaN
3DJCkDtM8qCYH5swc,Strawberry Cough,Concentrate,NaN,NaN,11,0.0,0.0,NaN,NaN,NaN,2.49,0.0,0.0,0.0,0.0,0.0,0.0,2.9,7.92,1.81,2.85,1.97,8.28,0.0,4.04,25.32,1.45,4.3,4.56,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3DekbWwvzG9SCenFZ,Citrus Berry Craft Cart,Concentrate,2018-04-27,2018-04-27,2,0.0,0.0,NaN,NaN,NaN,0.0,0.09,0.0,0.1,0.0,0.0,0.0,0.49,0.0,4.95,0.0,0.28,0.24,0.29,0.59,1.98,0.0,0.33,0.99,0.22,0.08,NaN,43.81,0.01,19.56,0.6,0.01,1.38,5.81,NaN,NaN,3.96,4.87,0.83,NaN
3GheEotqGE8GidsTZ,Grease Monkey,Concentrate,2017-02-16,2017-02-14,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.04,0.31,0.09,0.0,0.66,0.16,0.0,0.01,0.91,0.0,0.0,NaN,51.2,NaN,NaN,0.22,0.34,NaN,0.44,NaN,NaN,NaN,3.23,0.49,NaN
3HAJtqGQ9YGxZ9GHH,Tangie,Concentrate,NaN,NaN,11,0.0,0.0,NaN,NaN,NaN,1.67,0.0,0.0,0.0,0.0,0.0,0.0,5.99,0.0,1.87,2.76,3.02,6.87,0.0,6.67,7.81,1.98,6.2,46.24,1.41,0.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3McLDhT3SXMJvzwvi,Tangie Ghost Train Haze-LRB,Concentrate,2017-05-12,2017-05-10,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.08,0.0,0.64,0.04,0.06,0.19,0.03,0.27,0.93,0.17,0.04,0.33,0.01,0.0,70.4,7.0,NaN,NaN,0.0,0.0,0.38,0.0,NaN,NaN,4.34,0.53,0.0,NaN
3NTbgvWYu855yQgsh,Concentrate,Concentrate,2015-09-02,2015-09-01,3,NaN,NaN,0.0,0.0,NaN,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.07,0.0,0.15,0.0,0.05,0.05,0.02,0.02,0.14,0.02,0.0,1.05,0.0,0.01,NaN,44.5,NaN,NaN,0.0,0.11,NaN,0.03,NaN,NaN,NaN,0.9,0.33,NaN
3PNmygpJFDonbAx5K,Death Star - LRB,Concentrate,2016-03-09,2016-03-08,NaN,NaN,NaN,0.0,0.17,NaN,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.18,0.0,0.01,0.19,0.43,0.08,0.0,0.97,0.42,0.0,0.13,0.27,0.0,0.0,NaN,56.4,NaN,NaN,0.22,0.09,NaN,0.02,NaN,NaN,NaN,2.09,2.69,NaN
3QJq9S5QZ6h2YF6ac,Goblocks,Concentrate,2017-05-16,2017-05-12,12,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.1,0.0,0.06,0.04,0.03,0.0,0.0,0.2,0.06,0.0,0.0,0.13,0.0,0.0,73.1,5.1,NaN,NaN,0.0,0.0,0.37,0.0,NaN,NaN,6.1,0.7,0.0,NaN
3SSHEpEwjfzfEmhKF,Rugburn OG HTFSE,Concentrate,2017-11-30,2017-11-30,14,0.0,0.0,NaN,NaN,NaN,0.0,0.09,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.04,0.31,0.2,0.18,0.0,0.64,0.28,0.02,0.11,0.52,0.0,0.0,NaN,23.72,0.01,52.58,0.01,0.01,0.79,0.01,NaN,NaN,1.26,0.7,0.25,NaN
3TdRfX9ZuFfsArJvf,ASD021GWax,Concentrate,2018-02-24,2018-02-24,12,0.0,0.0,NaN,NaN,NaN,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.23,0.0,0.0,0.12,0.38,0.08,0.0,0.86,0.08,0.0,0.07,0.11,0.0,0.0,NaN,79.82,0.01,0.34,0.43,0.21,0.01,0.01,NaN,NaN,0.01,1.43,1.93,NaN
3aPpdfuSCeepezeRq,Garlic Chem- LR,Concentrate,2017-05-03,2017-05-02,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.02,0.04,0.39,0.09,0.0,0.72,0.58,0.0,0.04,0.54,0.0,0.0,78.2,1.8,NaN,NaN,0.0,0.0,0.37,0.0,NaN,NaN,0.0,0.16,2.19,NaN
3azDRvG3pfxLmgEQA,Northern Lights Craft Cart,Concentrate,2018-03-05,2018-03-05,2,0.0,0.0,NaN,NaN,NaN,0.05,0.07,0.0,0.0,0.0,0.23,0.0,0.23,0.0,0.2,0.14,0.34,0.41,0.06,0.37,3.42,0.28,0.28,0.68,0.05,0.0,NaN,51.04,0.01,15.81,0.43,0.13,1.02,0.01,NaN,NaN,1.79,1.72,1.9,NaN
3gJMjxi4Y9fiFSM7G,Sour O.G. - LR,Concentrate,2016-02-19,2016-02-18,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.07,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.1,0.05,0.63,0.21,0.01,1.11,0.67,0.04,0.13,1.24,0.01,0.0,NaN,52.0,NaN,NaN,0.07,0.01,NaN,0.03,NaN,NaN,NaN,1.47,0.14,NaN
3gR2QiZpaMfHG4G6g,Octane OG - TR,Concentrate,2016-08-25,2016-08-24,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.06,0.0,0.02,0.04,0.47,0.12,0.0,0.94,0.51,0.0,0.01,0.53,0.0,0.0,NaN,61.3,NaN,NaN,0.32,0.32,NaN,0.42,NaN,NaN,NaN,1.73,0.48,NaN
3gpCiw57qx2W8cg9M,Purple Painkiller THCA,Concentrate,2017-05-12,2017-05-10,15,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.02,0.0,0.0,92.4,2.9,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN
3iJeoCP9dp3kJMKvS,Billet 4/S1,Concentrate,2016-01-17,2016-01-15,16,NaN,NaN,0.0,0.0,NaN,0.0,0.01,0.04,0.01,0.0,0.01,0.0,0.14,0.0,0.0,0.08,0.33,0.06,0.0,0.84,0.25,0.0,0.05,0.18,0.0,0.0,NaN,76.5,NaN,NaN,0.32,0.32,NaN,0.24,NaN,NaN,NaN,1.2,0.5,NaN
3iXzJLgmo9AQDqWPs,Gorilla Glue #4,Concentrate,2017-03-24,2017-03-23,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.05,0.14,0.01,0.0,0.39,0.03,0.0,0.0,0.22,0.0,0.0,NaN,52.7,NaN,NaN,0.31,0.23,NaN,2.63,NaN,NaN,NaN,1.85,0.42,NaN
3mXwEBY3NWr7BKyZK,Q.K.,Concentrate,2016-10-18,2016-10-15,12,NaN,NaN,0.0,0.0,NaN,0.0,0.05,0.0,0.0,0.0,0.08,0.0,0.14,0.0,0.03,0.07,0.71,0.22,0.0,1.14,0.3,0.32,0.05,1.33,0.0,0.0,NaN,59.6,NaN,NaN,3.94,0.43,NaN,0.52,NaN,NaN,NaN,3.29,1.06,NaN
3mwPy5dXgexG5CbFS,Skywalker Mendo - LR,Concentrate,2016-12-01,2016-11-29,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.22,0.06,0.22,0.1,0.0,0.62,0.87,0.27,0.05,0.73,0.0,0.0,NaN,67.1,NaN,NaN,0.26,0.0,NaN,0.43,NaN,NaN,NaN,3.66,1.72,NaN
3njdhoKKwmfEdRM7i,Gorilla Chem Sugar,Concentrate,2016-12-26,2016-12-21,17,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.05,0.24,0.03,0.0,0.57,0.14,0.0,0.0,0.35,0.0,0.0,NaN,62.9,NaN,NaN,0.3,0.28,NaN,0.57,NaN,NaN,NaN,2.61,0.41,NaN
3oB28SJTsS8RLrWfq,9 lb. Hammer,Concentrate,2016-02-16,2016-02-15,3,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.2,0.0,0.03,0.0,0.0,0.07,0.0,0.04,0.29,0.07,0.01,0.09,0.0,0.0,NaN,53.6,NaN,NaN,0.09,0.05,NaN,0.02,NaN,NaN,NaN,1.45,0.33,NaN
3ojqsQQTesuNEfBcF,Raskal OG - CRB,Concentrate,2016-01-02,2015-12-31,NaN,NaN,NaN,0.02,0.0,NaN,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.0,0.06,0.29,0.01,0.18,1.25,0.01,0.02,0.35,0.01,0.0,NaN,64.9,NaN,NaN,0.16,0.15,NaN,0.03,NaN,NaN,NaN,2.84,0.19,NaN
3pnvExg8aaWX8Zrqa,Goji-LRB,Concentrate,2017-06-12,2017-06-12,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.29,0.0,0.48,0.06,0.12,0.1,0.0,0.41,0.27,0.13,0.0,0.68,0.0,0.0,NaN,1.43,0.01,86.15,0.01,0.0,0.49,0.01,NaN,NaN,3.78,0.65,0.07,NaN
